"Start","Stop","Length","Frame"
3002110,3003210,1101,1
3016933,3017244,312,1
3039526,3039876,351,1
3040003,3040560,558,1
3064168,3064545,378,1
3064999,3065313,315,1
3065815,3066192,378,1
3082981,3083394,414,1
3094012,3094338,327,1
3096514,3096849,336,1
3107665,3108003,339,1
3137413,3137772,360,1
3149050,3149433,384,1
3163681,3164088,408,1
3198628,3198960,333,1
3230473,3230787,315,1
3232117,3232641,525,1
3233191,3233556,366,1
3233626,3233931,306,1
3233959,3234426,468,1
3234910,3235326,417,1
3238714,3239265,552,1
3272257,3272622,366,1
3277525,3279705,2181,1
3314365,3314703,339,1
3315853,3316257,405,1
3319423,3319740,318,1
3327487,3327957,471,1
3345490,3346302,813,1
3348976,3349401,426,1
3410578,3410907,330,1
3419539,3419859,321,1
3490996,3491466,471,1
3531661,3532002,342,1
3557452,3557898,447,1
3574348,3574710,363,1
3612211,3612522,312,1
3613471,3613815,345,1
3614890,3615192,303,1
3659302,3659655,354,1
3668317,3668628,312,1
3670576,3670947,372,1
3704500,3704838,339,1
3735568,3736410,843,1
3740050,3740379,330,1
3743836,3744171,336,1
3747517,3748008,492,1
3847699,3848133,435,1
3881152,3881463,312,1
3882949,3883275,327,1
3897889,3898503,615,1
3915439,3915744,306,1
3917974,3918483,510,1
3922336,3922887,552,1
3922969,3923268,300,1
3924298,3924615,318,1
3942349,3942768,420,1
3954616,3955005,390,1
3960082,3960456,375,1
3963511,3963945,435,1
3978337,3979557,1221,1
3980758,3981339,582,1
3997096,3997494,399,1
4003042,4003794,753,1
4038160,4038480,321,1
4049407,4049811,405,1
4050553,4050996,444,1
4052305,4052655,351,1
4057480,4057803,324,1
4066480,4066860,381,1
4074544,4075545,1002,1
4075744,4076154,411,1
4100908,4101516,609,1
4156666,4157016,351,1
4177111,4178049,939,1
4178107,4178583,477,1
4178584,4179516,933,1
4180009,4180902,894,1
4189339,4190367,1029,1
4220923,4221225,303,1
4248028,4248345,318,1
4259704,4260285,582,1
4268986,4269360,375,1
4304845,4305177,333,1
4320628,4321008,381,1
4336561,4336923,363,1
4337644,4338060,417,1
4346404,4346718,315,1
4382038,4382583,546,1
4387825,4388133,309,1
4437934,4438974,1041,1
4439158,4439466,309,1
4441042,4441398,357,1
4441489,4442118,630,1
4445215,4445613,399,1
4484089,4485327,1239,1
4485445,4486308,864,1
4492303,4492710,408,1
4503841,4504194,354,1
4523800,4524114,315,1
4525546,4525890,345,1
4595902,4596252,351,1
4633603,4633944,342,1
4636555,4636881,327,1
4645093,4645515,423,1
4645516,4645836,321,1
4709863,4710378,516,1
4716403,4716858,456,1
4739260,4739625,366,1
4755451,4755966,516,1
4763314,4763631,318,1
4770424,4770837,414,1
4771267,4772199,933,1
4802881,4803180,300,1
4803310,4803621,312,1
4826992,4827312,321,1
4890691,4891050,360,1
4947646,4948353,708,1
4952305,4952820,516,1
4995289,4995690,402,1
5019826,5020221,396,1
5035174,5035479,306,1
5039920,5040237,318,1
5048563,5048970,408,1
5056807,5057127,321,1
5058088,5058390,303,1
5059291,5059602,312,1
5071942,5072364,423,1
5072659,5073042,384,1
5077381,5078496,1116,1
5081539,5082252,714,1
5116687,5117031,345,1
5147608,5148030,423,1
5148859,5149275,417,1
5170828,5171178,351,1
5178547,5178873,327,1
5190034,5191152,1119,1
5193937,5195043,1107,1
5196892,5197296,405,1
5197486,5197815,330,1
5272003,5272422,420,1
5275852,5276172,321,1
5328790,5329323,534,1
5330965,5331372,408,1
5351572,5352687,1116,1
5357359,5357691,333,1
5358118,5358432,315,1
5361040,5361357,318,1
5377252,5377791,540,1
5384452,5384973,522,1
5391379,5391705,327,1
5424499,5424954,456,1
5425531,5426421,891,1
5430961,5432076,1116,1
5432116,5432523,408,1
5435446,5435961,516,1
5440177,5440476,300,1
5446213,5446515,303,1
5469895,5470530,636,1
5470606,5470980,375,1
5472115,5472633,519,1
5472676,5473227,552,1
5474887,5475240,354,1
5498731,5499036,306,1
5502694,5503068,375,1
5527783,5528085,303,1
5554228,5554641,414,1
5563216,5563578,363,1
5563780,5564217,438,1
5567158,5567460,303,1
5596414,5596773,360,1
5625481,5625798,318,1
5635405,5635785,381,1
5637256,5637573,318,1
5651893,5652402,510,1
5660959,5661384,426,1
5676337,5676663,327,1
5691916,5692305,390,1
5701000,5701551,552,1
5741008,5742114,1107,1
5748031,5748507,477,1
5749492,5749791,300,1
5755369,5755695,327,1
5800966,5801721,756,1
5820916,5822031,1116,1
5850646,5851137,492,1
5853583,5854083,501,1
5861965,5862831,867,1
5874055,5874525,471,1
5889472,5889876,405,1
5904544,5904882,339,1
5959672,5960088,417,1
5960944,5961336,393,1
5962549,5962920,372,1
5967925,5968866,942,1
5984494,5984994,501,1
5988208,5988516,309,1
5993680,5994213,534,1
5994835,5998680,3846,1
5999344,5999967,624,1
6027391,6028506,1116,1
6043048,6043914,867,1
6044989,6045372,384,1
6067747,6068052,306,1
6105658,6105966,309,1
6121099,6121449,351,1
6129721,6130134,414,1
6130276,6130953,678,1
6132646,6132987,342,1
6138181,6138759,579,1
6178891,6179313,423,1
6199726,6200079,354,1
6200689,6201513,825,1
6214132,6215016,885,1
6224482,6224811,330,1
6239935,6240411,477,1
6278188,6278586,399,1
6297868,6298167,300,1
6340003,6340554,552,1
